"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Print Pro™ 70 GSM TREE FREE Agro Pulp Based A4 Paper Multipurpose Earth-Friendly Copier Paper (10 Ream Box, 5000 sheets)","B08HN3HB1D","Print Pro","₹2,376.00",74,"173,826.00","1,130","₹782.25",1,4.3,69,6,17,"n/a","Office Products","Standard-Oversize","MFN","13.0x17.3x9.8",48.06,"9/7/2020"
"($) Print Pro™ 75 GSM TREE FREE EARTH FRIENDLY Agro Pulp Based A4 Paper Multipurpose Eco Copier Paper, Pack of 10 Ream, 5000 sheets Box","B08BT743C9","Print Pro","₹2,478.00",58,"141,984.00","2,223","₹828.17",1,4.1,35,7,4,"n/a","Office Products","Heavy and Bulky","MFN","12.6x16.9x10.2",51.81,"8/8/2020"
"($) RUCHI A4 AOne Imported Copier Paper 70GSM - A4 500 Sheets, Pack of 2 (Total 1000 sheet)","B089DN45XJ","RUCHI","₹580.00",10,"5,800.00","5,840","n/a",1,"n/a","n/a",5,0,"n/a","Office Products","n/a","MFN","n/a","n/a","5/29/2020"
"($) Paraspapermart A4 Size Both Side Ruled Sheet for Project/Assignment/Practical/Homework (Pack of 200 Sheets)","B08JJLSSGZ","Paraspapermart","₹329.00",231,"75,999.00",84,"n/a",1,4.2,436,1,107,"n/a","Office Products","n/a","FBA","n/a",1.65,"9/19/2020"
"OFIXO 100 Pieces A4 Color Paper (10 Sheets of Each Color) for Art and Craft/Printing Purpose Multi Color Paper Thin Paper 10 Colors Sent at Random","B07SDPCBPC","OFIXO","₹149.00",920,"137,080.00",1,"₹155.66",2,4.4,5185,6,"1,595","n/a","Office Products","Standard-Oversize","FBA","8.3x11.7x0.7",1.17,"12/5/2018"
"Century Star Copier Paper - A4 Ssze, 75 GSM, 1 Ream 500 Sheet","B08DXNYS32","Century","₹240.00",395,"94,800.00",21,"₹220.90",35,4.1,302,1,103,"n/a","Office Products","Standard-Oversize","MFN","8.5x12.0x2.2",5.14,"7/30/2020"
"JK Copier Paper - A4, 500 Sheets, 75 GSM, 1 Ream","B00MVV81MK","JK","₹225.00",508,"127,000.00",33,"₹221.84",69,4.3,4400,2,418,"n/a","Office Products","Standard-Oversize","MFN","8.5x12.3x2.2",5.09,"8/17/2014"
"JK Easy Copier Paper - A4, 500 Sheets, 70 GSM, 1 Ream","B00MVV9NUY","JK","₹270.50",762,"201,930.00",2,"₹207.92",63,4.2,2515,1,269,"n/a","Office Products","Standard-Oversize","FBA","8.3x12.2x2.1",5.09,"8/20/2014"
"BILT Copy Power Paper - A4, 75 gsm, 500 Sheets, White, For home/office use","B08CR5QDWK","Bilt","₹249.00",156,"45,240.00",34,"₹209.10",10,4.6,49,1,19,"n/a","Office Products","Standard-Oversize","FBA","8.7x11.8x2.0",5.07,"7/16/2020"
"B2B Copier Paper, A4, 70 GSM, 500 Sheet","B018QWTXEM","B2B","₹210.00",175,"36,750.00",224,"₹218.06",27,4.2,306,4,103,"n/a","Office Products","Standard-Oversize","MFN","8.4x12.5x2.1",5.00,"11/30/2015"
