"Product Details";"ASIN";"Brand";"Price";"Sales";"Revenue";"BSR";"FBA Fees";"Active Sellers #";"Ratings";"Review Count";"Images";"Review velocity";"Buy Box";"Category";"Size Tier";"Delivery";"Dimensions";"Weight";"Creation Date"
"($) XTS Gear™ Airfence Motorcycle Sports Riding Gloves";"B08CK4FX93";"XTS Gear";"₹1,450.00";13;"18,850.00";"6,378";"₹344.27";1;4.5;5;8;0;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"6.0x9.0x2.5";0.57;"7/8/2020"
"($) Rynox® Storm Evo-2 Motorcycle Sports Riding Gloves";"B097LPB63F";"Rynox";"₹5,000.00";"n/a";"n/a";"28,638";"n/a";1;"n/a";"n/a";"n/a";0;"n/a";"Car & Motorbike";"n/a";"MFN";"n/a";"n/a";"6/20/2021"
"($) Hykes Full Finger Riding Bike Gloves with Touch proof, protective off-road Motorbike Motorcycle Racing Driving Hard Case Anti-Slip Gloves (Color: Black,Size: Large)";"B08QN2JQY9";"Hykes";"₹1,299.00";116;"150,684.00";"1,688";"₹346.77";1;4.1;61;5;10;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"6.8x11.4x2.0";0.35;"12/15/2020"
"Probiker Synthetic Leather Motorcycle Gloves (Black, XL)";"B00KJI2GIM";"Probiker";"₹346.00";"1,830";"633,180.00";14;"₹147.47";3;3.8;17191;1;699;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"5.6x10.1x2.0";0.26;"5/24/2014"
"YUNTUO Full Finger Touchscreen Protective Gloves for Motor Cycle/Bike/Moto Cross/Outdoor Sports Bicycle Cycling/Racing/Driving/Riding (Black2, Medium)";"B07Q6JKBM7";"YunTuo";"₹1,107.00";53;"58,671.00";"9,009";"₹317.31";1;3.6;846;8;19;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"6.5x14.5x2.2";0.40;"3/28/2019"
"CRAZY AL’S MC29 Motorcycle Full-Finger Gloves Sporty Full-Finger Anti-Slip Motorcycle Gloves for SCOYCO Red Blue Black M/L/XL (XL, Black)";"B01M5FOGXX";"Scoyco";"₹849.00";"n/a";"n/a";"503,065";"n/a";1;"n/a";"n/a";"n/a";0;"n/a";"Car & Motorbike";"n/a";"MFN";"n/a";"n/a";"1/13/2020"
"Scoyco MC08 Motorcycle Riding Gloves (Black, XL)";"B00RVE5K8A";"Scoyco";"₹799.00";16;"12,784.00";"22,745";"₹240.57";1;3.9;155;2;3;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"6.1x11.1x2.0";0.29;"12/25/2014"
"Probiker Leather Half Finger Motorcycle Gloves (Black, L), large";"B00RMV4UVA";"Probiker";"₹270.00";386;"104,220.00";356;"₹137.00";6;3.8;1931;4;84;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"6.0x7.6x2.4";0.20;"12/31/2014"
"Probiker PROBK03 Full Racing Motorcycle Gloves (Black, Medium)";"B018UCFTGE";"Probiker";"₹346.00";171;"59,166.00";"2,539";"₹179.34";6;3.7;2322;1;62;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"5.6x10.4x2.3";0.29;"12/2/2015"
"VIJEGO Tactical Gloves Military Hiking Mountain Motorcycle Biking Camping Gloves Fingerless Half Finger Men Women Work Outdoor Gloves(Green, XL)";"B08YWX8SF5";"VIJEGO";"₹499.00";71;"35,429.00";"5,768";"n/a";1;3.9;38;8;7;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"2.0x3.1x0.8";0.95;"3/13/2021"
