"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Toyshine Big Size Kitchen Set Toy with Music and Lights Playing Accessories - Pink","B01MXU0BC7","Toyshine","₹2,485.00","n/a","n/a","n/a","n/a","n/a",4.1,204,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/1/2016"
"($) Toyshine Luxury Kitchen Set Cooking Toy with Briefcase and Accessories (Yellow)","B073WXZKZZ","Toyshine","₹524.00","n/a","n/a","n/a","n/a","n/a",4.1,599,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/3/2016"
"($) toyshine luxury battery operated kitchen set with lights, sound and carry case- Pink","B01M1FOORV","Toyshine","₹1,599.00","n/a","n/a","n/a","n/a","n/a",4.0,746,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","9/17/2016"
"($) Toyshine Ice Cream Kitchen Play Cart Kitchen Set Toy with Lights and Music, Small","B01N0R4PXH","Toyshine","₹716.00","n/a","n/a","n/a","n/a","n/a",4.0,1491,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/11/2016"
"Cable World Plastic Luxury Kitchen Set Cooking Toy with Briefcase and Accessories (Yellow)","B08MWFW1M6","Cable World","₹498.00","n/a","n/a","n/a","n/a","n/a",4.0,2152,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","11/6/2020"
"Toyzone Plastic Barbie My Little Kitchen Play Set for Girls (Multicolor)","B07XCDLXLK","Toyzone","₹485.00","n/a","n/a","n/a","n/a","n/a",4.0,396,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","8/31/2019"
"Miniature Kitchen Set , Mini Stainless Steel Utensils , Real Cooking Kit for Play , Steel Kitchen Set for Girls , Choppu Jaman , Miniature Cooking Set for Kids , Mini Kitchen Set for Kids -27pcs","B0932B17JZ","Generic","₹427.00","n/a","n/a","n/a","n/a","n/a",3.3,26,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","4/20/2021"
"BVM GROUP 26Pcs Kitchen Play Set Non Toxic Plastic Unbreakable Toys for Girls with Suitcase Carry Case for Kids 26Pcs","B0963YLM54","BVM GROUP","₹449.00","n/a","n/a","n/a","n/a","n/a",3.0,16,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","5/28/2021"
"truvendor enterprises kitchen set toy for kids (kitchen set for 3+ kids, high quality Plastic) (Multi color,Pack of 32 pieces)","B089YVRN53","TRUVENDOR ENTERPRISES","₹415.00","n/a","n/a","n/a","n/a","n/a",3.5,2030,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","6/9/2020"
"Indian 26 Pcs Kitchen Play Set Non Toxic Plastic Unbreakable Toys for Girls with Suitcase Carry Case for Kids (Multicolor,Made in India)","B096XGBXDV","BVM GROUP","₹399.00","n/a","n/a","n/a","n/a","n/a",4.0,2,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","5/28/2021"
"HORUX Nano Kitchen 22 Pcs Mini Plastic Non Toxic Indian Kitchen Set Great Kitchen Toys for Girls (Kid's Love Kitchen Set) Indoor Game ,Best for Gift/Return Gift","B08ZSNK15C","PURVI","₹298.00","n/a","n/a","n/a","n/a","n/a",3.5,2,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","3/23/2021"
"ToyDor 100 % Organic Steel Doll Kitchen Set for Girls Kids Toys for Kids Non Toxic BPA Free Material - Mezz1 (Barbie Kitchen MZZ1)Medium Size Height 30CM Width 21 cm- MZZ12","B08TTH95SZ","ToyDor","₹649.00","n/a","n/a","n/a","n/a","n/a",3.5,218,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/21/2020"
"FunBlast Kitchen Set for Kids Toy with Carry Case - Pretend Play Toys for 3+ Kids Girls, Boys Role Play Toys for Kids – Multicolor;26 Pcs","B08XNV5WGB","FunBlast","₹576.00","n/a","n/a","n/a","n/a","n/a",4.1,20,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","2/27/2021"
"Toys World Kitchen Set for Girls Cooking Set for Girls with Briefcase Unbreakable Toys for Kids","B08X3PN41N","TOYS WORLD","₹439.00","n/a","n/a","n/a","n/a","n/a",3.3,53,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","2/21/2021"
"JST 27 Pieces Aluminium Utensils Kitchen Set/ Great Kitchen Toys for Kids/ Best Gift Items.","B08TCGBZVS","Generic","₹499.00","n/a","n/a","n/a","n/a","n/a",3.8,30,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","1/18/2021"
"WireScorts Plastic Little Chef Mini Cooking Kitchen Play Set with Light and Sound for Kids (Multicolour)","B08S3FWM77","WireScorts","₹899.00","n/a","n/a","n/a","n/a","n/a",4.0,97,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","1/5/2021"
"Cable World Plastic Tea Party Pretend Play Kitchen Set with Food Toy for Kids (Assorted Colour)","B08KJDL5FK","Cable World","₹349.00","n/a","n/a","n/a","n/a","n/a",4.0,2152,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","10/2/2020"
"Negi 24pcs Mini Stainless Steel Utensils Non Toxic Indian Kitchen Set Great Kitchen Toys for Girls (Kid's Love Kitchen Set) ( It Has Sharp Edges Not Suitable for Small Baby )","B07P7LVTHQ","Negi","₹559.00","n/a","n/a","n/a","n/a","n/a",3.7,1528,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","10/15/2018"
"Parage Lily Premium Stainless Steel Cutlery Set - Set of 25 (Contains: 6 Master Spoons, 6 Tea Spoons, 6 Forks, 6 Soup Spoons) - Silver","B07L9QK9SF","Parage","₹399.00","n/a","n/a","n/a","n/a","n/a",3.6,3357,"n/a","n/a","n/a","Home & Kitchen","n/a","n/a","n/a","n/a","12/12/2018"
"Tirtha Enterprises 45pcs Mini Stainless Steel Utensils Non Toxic Indian Kitchen Set Great Kitchen Toys for Girls (Kid's Love Kitchen Set)","B0968V1Y2X","Generic","₹820.00","n/a","n/a","n/a","n/a","n/a",3.2,7,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","5/31/2021"
"($) RADHE ENTERPRISES (Kitchen Set Trolley)","B08MDZ23XZ","RADHE ENTERPRISES","₹1,699.00","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","11/2/2020"
"($) AKSHARAM AHAM 43 Piece Big Size Kitchen Set for Kids with Realistic Lights & Sounds,Simulation of Spray, Play Sink with Running Water & Kitchen Accessories for 3 Year Old Girls","B09872R1T4","AKSHARAM AHAM","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","6/29/2021"
"($) AKSHARAM AHAM 3 in 1 Multi Function Pretend Mobile Kitchen Playset to Play Little Chef's Set with Portable Suitcase Design for Girls 31Pcs Toys Kids Functional Role (Multi Color) (Green)","B098LJFXDR","AKSHARAM AHAM","₹1,099.00","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","7/3/2021"
"Milton Vitro Plastic Jar Set, 18- Pieces, Transparent, 6x270 ml, 6x665 ml, 6x1240 ml","B07N6HZSZL","MILTON","₹559.00","n/a","n/a","n/a","n/a","n/a",4.4,8239,"n/a","n/a","n/a","Home & Kitchen","n/a","n/a","n/a","n/a","1/28/2019"
"Toyshine Ice Cream Kitchen Play Cart Kitchen Set Toy with Lights and Music, Small","B01N0R4PXH","Toyshine","₹716.00","n/a","n/a","n/a","n/a","n/a",4.0,1491,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/11/2016"
"Toyshine Luxury Kitchen Set Cooking Toy with Briefcase and Accessories (Yellow)","B073WXZKZZ","Toyshine","₹524.00","n/a","n/a","n/a","n/a","n/a",4.1,599,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/3/2016"
"($) Toyshine DIY Luxury Kitchen Set with Briefcase and Accessories (Pink)","B071J6R7XC","Toyshine","₹696.00","n/a","n/a","n/a","n/a","n/a",4.2,244,"n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","12/3/2016"
"($) Dream Fitness Kitchen Set for Kids Girl with 26 Pcs Accessories Realistic Light & Sound Steam Simulation Kitchen Cooking Playset Kitchen Toy Set for Kids Girls ( Multi Color )","B097XT5GCN","Dream Fitness","₹898.00","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Toys & Games","n/a","n/a","n/a","n/a","6/25/2021"
