"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Mi Power Bank 3i 20000mAh | 18W Fast PD Charging | Input- Type C and Micro USB| Triple Output | Sandstone Black","B08HV83HL3","MI","₹1,699.00","9,925","16,862,575.00",21,"₹508.37",1,4.3,52861,7,"10,064","n/a","Electronics","Standard-Oversize","FBA","4.0x8.1x1.4",1.06,"9/22/2020"
"Redmi 20000mAh Li-Polymer Power Bank (Black), USB Type C and Micro USB Ports | 18W Fast Charging | Multi Device Charging","B0851WWXJC","Redmi","₹1,499.00","4,867","7,295,633.00",412,"₹454.09",1,4.2,17012,4,"2,106","n/a","Electronics","Standard-Oversize","FBA","4.0x7.8x1.3",1.23,"2/28/2020"
"URBN 20000 mAh 18W Super Fast Charging Power Bank with 18W Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Black)","B08HDYR671","URBN","₹1,199.00","4,370","5,239,630.00",551,"₹402.17",1,4.0,3054,8,382,"n/a","Electronics","Standard-Oversize","FBA","3.7x7.8x1.3",1.01,"9/3/2020"
"Syska 20000 mAh Li-Polymer Power Pro200 Power Bank (White)","B01N5JIJZT","SYSKA","₹1,199.00","2,450","2,937,550.00","1,131","₹472.91",2,3.9,7809,13,933,"n/a","Electronics","Standard-Oversize","FBA","4.3x10.1x0.9",0.99,"1/1/2017"
"URBN 20000mAh Li-Polymer Ultra Compact Type-C Power Bank with 12W Fast Charge, Type C & Micro Input (Black)","B0835J9BC4","URBN","₹799.00","2,559","2,044,641.00",863,"₹299.51",1,3.8,5639,6,827,"n/a","Electronics","Standard-Oversize","FBA","3.7x7.4x1.3",0.99,"12/26/2019"
"Croma 10W Fast Charge 10000mAh Lithium Polymer Power Bank (18 Months Warranty) (CRCA0083, Black)","B08RZ6VQ1D","CROMA","₹499.00","1,039","518,461.00",246,"₹231.01",2,4.0,135,7,53,"n/a","Electronics","Standard-Oversize","FBA","2.0x3.9x1.2",0.44,"1/4/2021"
"OnePlus 10000 mAh Power Bank (Fast PD Charging, 18 W) (Green, Lithium Polymer)","B08HRZY4MZ","OnePlus","₹1,099.00","5,757","6,326,943.00",272,"₹350.25",2,4.2,7314,6,"1,506","n/a","Electronics","Standard-Oversize","FBA","4.4x8.1x1.3",0.62,"10/14/2020"
"realme 20000 mAh Power Bank (Quick Charge 2.0, Power Delivery 2.0, 18 W) Yellow","B08X1VH46T","realme","₹1,599.00","2,539","4,059,861.00",722,"₹487.13",2,4.1,1369,7,549,"n/a","Electronics","Standard-Oversize","FBA","3.1x6.1x1.3",1.08,"3/10/2021"
"Syska 20000 mAh Li-Polymer Power Pro200 Power Bank (Black)","B01MU4PM6P","SYSKA","₹1,199.00","2,125","2,547,875.00",958,"₹402.17",1,3.9,7809,6,942,"n/a","Electronics","Standard-Oversize","FBA","4.6x9.7x1.2",1.12,"1/1/2017"
"Croma 18W Power Delivery(PD) 20000mAh Lithium Polymer Power Bank (18 Months Warranty) (CRCA0086, Black)","B08SW4WJPY","CROMA","₹1,299.00",676,"878,124.00","4,216","₹423.41",2,3.9,81,8,54,"n/a","Electronics","Standard-Oversize","FBA","2.9x5.5x0.6",0.93,"1/13/2021"
"Mi Pocket Power Bank Pro Black 10000mAh | Triple Output and Dual Input Port | 22.5W Ultra Fast Charging | Power Delivery","B08MC57J31","MI","₹1,199.00","5,521","6,619,679.00",229,"₹371.49",1,4.3,1976,7,535,"n/a","Electronics","Standard-Oversize","FBA","3.3x5.3x1.3",0.46,"11/14/2020"
"Mi 10000mAH Li-Polymer Power Bank 3i with 18W Fast Charging Make in India (Midnight Black)","B08HVL8QN3","MI","₹999.00","8,539","8,530,461.00",129,"₹330.19",1,4.3,52861,7,"10,064","n/a","Electronics","Standard-Oversize","FBA","4.0x7.8x0.9",0.75,"9/22/2020"
"($) pTron Dynamo Pro 10000mAh 18W QC3.0 PD Power Bank, Made in India, Fast Charge, Type-C & Micro USB Input Ports, with 18W Type C Mini Cable for Smartphones & Other Smart Device - (Black)","B08HL1FG4H","PTron","₹699.00","4,292","3,429,308.00",396,"₹268.83",1,3.9,1839,7,383,"n/a","Electronics","Standard-Oversize","FBA","3.8x5.9x1.3",0.60,"9/5/2020"
