"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) SLOVIC Resistance Tube/Band with Sturdy Handles, Door Anchor for Men and Women with Extensive Guide Containing 30 Plus Exercises.","B08H87CXNR","SLOVIC","₹2,599.00",287,"688,513.00",184,"n/a",1,4.3,1385,7,-91,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.5x12.9x4.3",2.65,"3/22/2020"
"($) SLOVIC Resistance Band/Pull Up Band/Resistance Bands 42 Inch with Door Anchor for Calisthenics with Physical Booklet with 30 Exercises.","B07KTXLQYF","SLOVIC","₹749.00","1,338","935,262.00",98,"₹173.35",1,4.3,2024,6,197,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.2x11.5x1.7",0.62,"11/22/2018"
"($) Fit Mammal Resistance Band Set-Resistance Bands for Workout for Men & Women- Warranty for Life- Heavy Resistance Tube Gym Band & Stretch Band for Exercise- 50+ Exercise Bands E-Book Included","B08HS3FVYH","Fit Mammal","₹2,499.00","1,008","2,518,992.00",198,"₹440.05",1,4.6,456,8,64,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","10.2x13.7x4.8",2.01,"11/3/2020"
"kossto Double Toning Resistance Tube Heavy Quality Exercise Band for Stretching, Full Body Workout, Home Gym and Toning for Men and Women","B091Q6DH8Q","kossto","₹399.00","2,097","836,703.00",13,"₹189.85",1,3.9,810,9,313,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.7x7.1x2.4",1.01,"4/5/2021"
"Boldfit Heavy Resistance Band for Exercise & Stretching, Pull Up Bar Suitable in Home & Gym Workout for Men & Women.","B08D8J5BVR","Boldfit","₹569.00","2,099","1,194,331.00",22,"₹176.34",1,4.1,1712,6,468,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.9x10.8x1.2",0.26,"7/1/2020"
"RYLAN Resistance Exercise Bands with Door Anchor, Handles, Waterproof Carry Bag, Legs Ankle Straps for Resistance Training, Physical Therapy, Home Workouts, Resistance Band.","B096NLF1ZF","Rylan","₹799.00","1,674","1,337,526.00",41,"₹206.37",1,4.5,315,8,194,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x3.1x2.8",0.50,"2/3/2021"
"Rewup Resistance Bands Set (11pcs), Exercise Bands with Door Anchor, Handles, Waterproof Carry Bag, Legs Ankle Straps for Resistance Training, Physical Therapy","B0968V1TWZ","Rewup","₹699.00",226,"157,974.00",195,"₹173.35",1,5.0,35,7,19,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x4.7x0.8",0.88,"5/31/2021"
"Antbadge Anti-Slip Fabric Resistance Loop Bands for Women & Men. Stretchable Exercise Mini Band to Workout Booty Hips Glutes Thighs Legs abs at Home, Outdoors or Gym","B08NW38S3K","ANTBADGE","₹399.00","1,695","676,305.00",97,"₹159.16",1,4.5,397,8,180,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.7x6.0x1.9",0.31,"11/17/2020"
"Fonthill® Resistance Bands Set (11pcs), Exercise Bands with Door Anchor, Handles, Waterproof Carry Bag, Legs Ankle Straps for Resistance Training, Physical Therapy, Home Workouts","B092PZXZGG","FontHill","₹699.00",982,"686,418.00",618,"n/a",1,4.3,277,5,107,"n/a","Sports, Fitness & Outdoors","n/a","FBA","7.5x9.8x3.1","n/a","4/16/2021"
"HUZB® Double Toning Resistance Band Tube Heavy Quality Exercise Band for Stretching, Full Body Workout, Home Gym and Toning for Men and Women(Multicolor)","B08WKG2LKZ","HUZB","₹379.00","1,310","496,490.00",53,"₹155.28",1,4.3,968,6,195,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.9x5.9x2.4",0.79,"2/9/2021"
