"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Boldfit Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids","B08MWF3TGK","Boldfit","₹499.00","2,185","1,090,315.00",10,"n/a",1,4.1,2548,6,486,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.6x7.2x4.5",0.49,"11/6/2020"
"($) BICHI ENS Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids","B096Y8L5LC","BICHI","₹499.00",89,"44,411.00","2,042","₹172.74",1,4.5,40,8,26,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x3.9x2.0",0.11,"6/9/2021"
"($) Burnlab Pro Power Plus Weighted Handle Skipping Rope - Anti Slip, Adjustable, Ball Bearing Design for Gym, Crossfit, Double Unders, Speed Jumping, Boxing, Cardio and Weight Loss - for Men and Women","B082VY7F26","Burnlab","₹1,289.00",26,"33,514.00","10,960","₹321.24",3,4.1,37,5,4,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.1x6.0x1.6",0.97,"12/18/2019"
"Aurion Skipping-Rope Jump Skipping Rope for Men, Women, Weight Loss, Kids, Girls, Children, Adult - Best in Fitness, Sports, Exercise, Workout","B07G8FNL3Q","AURION","₹125.00","2,280","285,000.00",3,"₹124.20",1,3.9,12399,9,"1,535","n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.3x6.8x1.8",0.35,"8/6/2018"
"Boldfit Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids","B08MWF3TGK","Boldfit","₹499.00","2,185","1,090,315.00",10,"n/a",1,4.1,2548,6,486,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.6x7.2x4.5",0.49,"11/6/2020"
"Aurion Jump Rope Workout-Professional Skipping Rope Silicone Comfortable Grips, Heavy Jump ropes Adults Fitness Women Men, Cardio Boxing Endurance Training Exercise","B0968JLTLD","AURION","₹99.00","1,908","188,892.00",18,"₹120.25",1,4.1,55,3,24,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.0x7.0x1.0",0.30,"5/31/2021"
"AmazonBasics Standard Jump Rope, Grey","B07TCNBG5Y","AmazonBasics","₹299.00",69,"20,631.00",35,"₹133.80",1,4.4,1621,6,328,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","6.8x8.7x1.8",0.44,"11/29/2019"
"Vector X Skipping Rope (Black)","B015E1JVN6","Vector X","₹160.00","1,802","288,320.00",51,"n/a",4,4.0,7247,7,414,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.5x9.5x1.6",0.24,"1/1/2017"
"GOCART WITH G LOGO Jump Ropes Sports Fitness Exercise Cotton Sponge Count Rope Skipping Wire Fitness Outdoor Sporting Skip Rope","B07HL6H1VS","GOCART WITH G LOGO","₹325.00","1,260","409,500.00",108,"₹149.13",1,3.8,2144,9,294,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.1x8.4x1.8",0.31,"9/21/2018"
"Strauss Skipping Rope","B07QJ52Q3D","STRAUSS","₹173.00","2,105","364,165.00",45,"₹129.29",2,4.0,5469,7,654,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.8x7.0x1.7",0.24,"1/22/2019"
