"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Uspech Vegetable chooper Greater and Slicer for Home 12 in 1","B08R3863HM","Uspech","₹479.00",78,"37,362.00","5,074","n/a",2,3.3,129,4,11,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","12/21/2020"
"($) VOLTAC Plastic Handy Vegetable Chopper|Cutter| Mixer Set| Hand Chopper| Vegetable Chopper for Kitchen| Vegetable Chopper for Kitchen| Plastic","B096LVDYJH","VOLTAC","₹199.00",3,627.00,"26,030","n/a",1,"n/a","n/a",9,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/4/2021"
"($) Amazon Brand - Solimo Compact Vegetable Chopper (350 ml, Green)","B07P6XL1M3","Amazon Brand - Solimo","₹179.00","5,322","952,638.00",108,"n/a",1,3.9,11731,5,"1,451","n/a","Home & Kitchen","Standard-Oversize","FBA","5.3x5.5x3.9",0.60,"2/28/2019"
"($) Kitchoff® 12 in 1 Vegetable Cutter - Chopper, Chipser, Grater, Slicer Dicer, Peeler - All in One (Green & White) Unbreakable","B097RJD34S","Kitchoff","₹509.00",5,"2,545.00","32,485","n/a",1,"n/a","n/a",5,0,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","6/23/2021"
"Pigeon Plastic Handy Chopper With 5 Blades And 1 Whisker, Green","B07GS7NYJJ","Pigeon","₹319.00","12,048","3,843,312.00",3,"₹178.99",35,4.2,15930,7,"4,183","n/a","Home & Kitchen","Standard-Oversize","FBA","5.4x5.8x4.9",0.20,"8/23/2018"
"Butterfly Premium Vegetable Chopper 900 Ml, Blue","B085F2HVF9","Butterfly","₹359.00","11,168","4,009,312.00",12,"₹165.35",13,4.4,12666,3,"3,046","n/a","Home & Kitchen","Standard-Oversize","FBA","4.9x5.7x4.9",0.77,"3/3/2020"
"Pigeon Mini Handy (400 ml) and Compact Chopper with 3 blades for effortlessly chopping vegetables and fruits for your kitchen (12420)","B01LWYDEQ7","Pigeon","₹229.00","12,293","2,815,097.00",1,"₹155.11",29,4.3,112167,8,"12,696","n/a","Home & Kitchen","Standard-Oversize","FBA","5.2x5.4x3.9",0.97,"1/1/2017"
"Ganesh Chopper Vegetable Cutter, Pool Green (725 ml)","B07G7FYKDC","Ganesh","₹179.00","9,135","1,635,165.00",47,"₹152.16",11,4.1,31238,8,"3,557","n/a","Home & Kitchen","Standard-Oversize","FBA","5.2x5.2x5.0",0.68,"8/6/2018"
"Primelife Plastic Handy Chopper, Quick Chopper with 3 and 5 Stainless Steel Blades & Beating Blade for Vegetables Cutter, Manual Pull and Sharp Veggie Cutter for Kitchen (Multicolor, 300ML + 1000ML)","B08VJ36WZC","Primelife","₹329.00",961,"316,169.00","1,377","₹180.35",1,4.0,20,8,14,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.9x3.9x3.9",1.10,"2/1/2021"
"Butterfly Premium Vegetable Chopper 600 ml Blue","B084M1VLZ3","Butterfly","₹249.00","9,450","2,353,050.00",40,"₹125.61",13,4.4,5114,5,"1,356","n/a","Home & Kitchen","Standard-Oversize","FBA","4.8x4.9x4.1",0.66,"2/9/2020"
"KeyDus 12 in 1 Multi Functional Slicer with Stainless Steel Blades, Household Kitchen for Cutter, Grater, Peeler, Chipser, Chopper, Fruit Cutter, Fruit Slicer, Vegetable Chopper, Vegetable Slicer","B091HQTQRB","KeyDus","₹489.00",991,"464,779.00","4,153","n/a",5,3.7,65,6,39,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","4/1/2021"
"Ganesh Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer","B01BVDS1BE","Ganesh","₹731.00","6,387","4,183,485.00",219,"₹247.01",6,4.0,28304,8,"2,699","n/a","Home & Kitchen","Standard-Oversize","FBA","5.8x12.7x4.7",2.36,"1/1/2017"
"Amazon Brand - Solimo Compact Vegetable Chopper (350 ml, Green)","B07P6XL1M3","Amazon Brand - Solimo","₹179.00","5,322","952,638.00",108,"n/a",1,3.9,11731,5,"1,451","n/a","Home & Kitchen","Standard-Oversize","FBA","5.3x5.5x3.9",0.60,"2/28/2019"
"KNK Marketing Advance 12 in 1 Multi-Purpose Vegetable & Fruit Grater, Slicer, Cutter, Vegetable & Fruit Chopper (1 Chopper Set)","B097TS98HS","KNK Marketing Pvt. Ltd.","₹499.00",37,"18,463.00","3,764","n/a",1,5.0,2,7,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/24/2021"
"Pigeon Plastic Chopper with 5 Blades and 1 Whisker, Grey","B08RRS924L","Pigeon","₹403.00","1,895","763,685.00","1,161","₹190.39",1,4.1,363,2,82,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.2x6.0x5.1",0.84,"12/31/2020"
"FEXMON Multipurpose Vegetable Cutter Silcer with Mini Handy Copper & Garlic Cutter Combo Set Pack of 3 Vegetable & Fruit Chopper (3)","B095KHNDZK","Fexmon","₹699.00",55,"38,445.00","14,324","₹193.98",1,"n/a","n/a",5,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","4.7x5.5x3.9",0.33,"5/21/2021"
"HEYOL 12 in 1 Vegetable Cutter - Chopper, Chipser, Grater, Slicer Dicer, Peeler - All in One (Green & White) Unbreakable","B08WLS1RVV","HEYOL","₹449.00",8,"3,592.00","76,206","n/a",1,"n/a","n/a",9,0,"n/a","Home & Kitchen","n/a","FBA","5.9x11.8x4.7","n/a","2/15/2021"
"Signoraware Quick Chopper (BIG) Multipurpose Manual Vegetable, Dry Fruit and Onion Handy Chopper and Quick Cutter Machine for Kitchen with 3 Stainless Steel Blade, 725ml, Set of 1, Cocoa Grey","B08CTNFCP9","Signoraware","₹233.00","6,377","1,485,841.00",255,"₹183.67",8,3.8,866,8,388,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.7x10.2x4.9",0.68,"7/12/2020"
"AKT EMPIRE Multipurpose Kitchen Combo of Quick Handy Chopper Stainless, Dry Fruit Slicer and Vegetable Clever Cutter (Multi Color, Randomly)","B091YVGW48","AKT EMPIRE","₹399.00",161,"64,239.00","32,679","n/a",1,3.3,7,8,2,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","3/2/2021"
"DIJITRA FAB 12 in 1 Multi Functional Slicer with Stainless Steel Blades, Household Kitchen for Cutter, Grater, Peeler, Chipser, Chopper, Fruit Cutter, Fruit Slicer, Vegetable Chopper, Vegetable Slicer","B09736R66K","DIJITRA FAB","₹469.00",75,"35,175.00","8,202","₹198.17",1,"n/a","n/a",6,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","4.7x4.7x4.7",1.10,"6/11/2021"
"($) brightdeal Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer","B08K8QPXP9","brightdeal","₹549.00","n/a","n/a","184,923","n/a",1,"n/a","n/a",7,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","9/28/2020"
"($) BELLADOR™ Stainless Steel 3 in 1 Kitchen Multipurpose Kitchen Bowl, Drain Basket, Graters for Vegetable / Fruit Cutter, Grater Kitchen Mesh Strainers [ Total 3 Piece ] (Strainer + Bowl + Chopper) 26CM","B097YPD2C4","D.H","₹949.00",8,"7,592.00","160,750","₹258.58",1,"n/a","n/a",9,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.9x3.9x3.9",1.04,"6/25/2021"
"($) Teesta Multi-Functional Stainless Steel Kitchen Knives 5 Layers Scissors Cut Herb Spices Cooking Tools Vegetable Cutter with Cleaning Brush(Color May Vary)","B07L7P4VS4","TEESTA","₹299.00",286,"85,514.00","7,804","₹122.66",2,3.2,197,6,22,"n/a","Home & Kitchen","Standard-Oversize","FBA","4.6x10.3x0.1",0.42,"12/9/2018"
"($) Tefal K13204 Manual Food Processor, 900 ml, Green - Dark Citronnelle","B07CQQG66F","Tefal","₹1,346.00",97,"130,562.00","53,952","₹330.15",2,4.7,5932,17,"-3,286","n/a","Home & Kitchen","Standard-Oversize","FBA","5.5x6.1x5.4",1.30,"2/26/2019"
"Pigeon by Stovekraft Mini Handy and Compact Chopper with 3 blades for effortlessly chopping vegetables and fruits for your kitchen (Grey)","B074S7XLPY","Pigeon","₹299.00","3,464","1,035,736.00",504,"n/a",8,4.3,16989,9,840,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.3x5.4x3.9",0.60,"8/13/2017"
"Fariox Food Chopper, Large Manual Hand-Press Vegetable Chopper Mixer Cutter to Chop & Cut Onion, Salad, Tomato, Potato, Garlic - Multicolour, 1 Piece","B08R9V86YM","Fariox","₹490.00",477,"233,730.00","2,729","₹149.69",1,3.9,135,9,46,"n/a","Home & Kitchen","Standard-Oversize","FBA","2.8x5.9x2.8",0.62,"12/25/2020"
"Ganesh Chopper Vegetable and Fruit Cutter, Red","B073QL9H6M","Ganesh","₹399.00",466,"214,360.00","5,051","₹196.94",5,3.8,369,7,22,"n/a","Home & Kitchen","Standard-Oversize","FBA","4.9x10.5x3.6",1.48,"7/5/2017"
"Amazon Brand - Solimo 500 ml Large Vegetable Chopper with 3 Blades, Blue","B07FFMYKW2","Amazon Brand - Solimo","₹189.00","11,116","2,100,924.00",38,"₹152.75",1,4.0,14761,6,"2,578","n/a","Home & Kitchen","Standard-Oversize","FBA","5.8x5.8x4.0",0.64,"9/29/2018"
"Oblivion 450-ML Vegetable Cutter/Chopper with 3 Blades for Chopping Vegetables and Fruits (Color May Vary)","B08WGV5S5W","Oblivion","₹179.00",680,"121,720.00","2,417","n/a",3,3.9,274,5,42,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.9x5.9x3.9",0.44,"2/11/2021"
"Anjali Plastic Vegetable and Fruit Cutter, Brown","B00F2GIALS","Anjali","₹375.00","1,012","379,500.00","2,037","₹214.91",4,4.0,766,1,125,"n/a","Home & Kitchen","Standard-Oversize","FBA","9.4x12.0x2.7",1.15,"9/9/2013"
"KeyDus® 12 in 1 Multi-Purpose Vegetable & Fruit Grater, Slicer, Cutter, Vegetable & Fruit Chopper (1 Chopper Set)","B0937D339R","KeyDus","₹479.00",485,"232,315.00","4,067","n/a",1,3.5,63,7,45,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","4/22/2021"
"the villa Vegetable Dicer Chopper 5 in 1 Multi-Function Slicer Vegetable & Fruits Cutter, Dicer Grater & Chopper, Peeler with Container Onion Cutter Kitchen Accessories","B0975LDVF1","The Villa","₹349.00",6,"2,094.00","49,899","n/a",1,"n/a","n/a",9,0,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","6/13/2021"
"Primelife Swift Vegetable Chopper, Cutter Set with Storage Lid for Kitchen, Stainless Steel Blade - Multicolor (300ml + 1000ml)","B091N19R77","Primelife","₹299.00",103,"30,797.00","17,528","₹152.16",1,3.5,17,8,10,"n/a","Home & Kitchen","Standard-Oversize","MFN","3.9x3.9x3.9",1.10,"4/2/2021"
"KeyDus® 12 in 1 Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer | 11 Blades + 1 Peeler | Stainless Steel Blades | Manual Vegetable Chopper.","B094ZT5Y3V","KeyDus","₹477.00",295,"140,715.00","5,714","n/a",1,3.4,12,5,7,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","5/15/2021"
"Multi Color Heavy Manual 4 in 1 Rotary Cutter; Vegetable Choppers for Kitchen big size","B096MR5K35","Generic","₹225.00","n/a","n/a","99,712","n/a",1,"n/a","n/a","n/a",0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/4/2021"
"iBELL PC650S Vegetable Cutter, Chopper, Egg Beater, Blender, Large 650 ml, with 3 Blades, Black and Green","B08LBBP5T8","IBELL","₹448.00",98,"43,904.00","16,221","n/a",1,4.5,71,6,13,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.2x5.4x5.2",0.07,"10/17/2020"
