"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Boldfit Stainless Steel Water Bottle For Men & Women & Kids (Black - 1000ml)","B095WRG5GB","Boldfit","₹998.00",146,"152,570.00","5,308","₹320.13",1,5.0,54,7,0,"n/a","Health & Personal Care","Standard-Oversize","FBA","3.9x13.3x3.9",1.32,"1/20/2021"
"($) GROWEVER Stainless Steel Water Bottle 650ML","B092D3Y4H4","Growever","₹449.00",3,"1,347.00","206,410","₹165.96",1,5.0,1,4,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.1x11.1x3.0",0.64,"4/13/2021"
"($) EX-VOTO Pure Copper Water Bottle 1000ml / Tamba Water Bottle 1 Litre - Hammered Design","B08KLS8VFY","EX-VOTO","₹975.00",10,"9,750.00","37,545","n/a",1,4.5,11,9,1,"n/a","Home & Kitchen","Standard-Oversize","MFN","1.4x4.3x1.4",0.64,"10/2/2020"
"($) Cello Puro Steel-X Benz Water Bottle with Inner Steel and Outer Plastic , 900 ml (Black)","B07THZR677","Cello","₹487.00","3,878","1,888,586.00",734,"₹171.11",9,3.5,1481,9,"-2,094","n/a","Home & Kitchen","Standard-Oversize","FBA","3.3x11.0x3.3",0.73,"6/24/2019"
"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted","B07BFBNFSF","Cello","₹379.00","10,862","4,116,698.00",17,"₹181.84",7,4.4,17285,7,"3,185","n/a","Home & Kitchen","Standard-Oversize","FBA","10.5x14.7x2.8",1.26,"3/13/2018"
"Milton Super 1000 Single Wall Stainless Steel Bottle, 1000 ml, Silver,Set of 1","B07NJJ7LDK","MILTON","₹342.00","5,491","1,877,922.00",218,"₹160.75",4,3.9,1818,5,375,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.4x11.4x3.4",0.60,"3/19/2019"
"Amazon Brand - Solimo Plastic Fridge Bottle Set (6 pieces, 1L, Checkered pattern, Multicolour)","B07P7ZWQMZ","Amazon Brand - Solimo","₹449.00","7,559","3,393,991.00",117,"₹281.60",1,4.4,11204,4,"1,838","n/a","Home & Kitchen","Standard-Oversize","FBA","9.8x12.6x6.7",1.81,"2/28/2019"
"Cello H2O Unbreakable Plastic Bottle, 1 Litres, Blue,Set of 1","B01BYBTZJA","Cello","₹159.00","7,501","1,192,659.00",101,"₹120.30",7,4.3,8508,3,"1,255","n/a","Home & Kitchen","Standard-Oversize","FBA","3.1x10.6x3.1",0.33,"2/19/2016"
"Milton Duo DLX 1000 Thermosteel 24 Hours Hot and Cold Water Bottle, 1 Litre, Silver","B00JDACK3S","MILTON","₹939.00","11,816","11,095,224.00",11,"₹201.83",32,4.5,34376,9,"4,292","n/a","Home & Kitchen","Standard-Oversize","FBA","3.9x13.2x3.7",1.30,"1/1/2017"
"Milton KIP SIP 1000 Pet Water Bottle, Set of 4, 1 Litre Each, Assorted","B0971GJ915","MILTON","₹375.00","n/a","n/a","1,689","₹133.79",1,"n/a","n/a",5,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","0.4x0.4x0.4",0.02,"6/10/2021"
"MILTON CUTNFTB007STPC0001 Stainless Steel Water Bottle, 930 Milliliters, Silver,Set of 1","B079R9W1B6","MILTON","₹333.00","6,688","2,227,104.00",173,"₹180.89",24,4.0,14273,7,"4,280","n/a","Home & Kitchen","Standard-Oversize","FBA","3.2x11.0x3.2",0.93,"1/10/2018"
"Cello H2O Unbreakable Plastic Bottle Set, 1 Litre, Set of 6, Multicolour","B01IVBR4Y4","Cello","₹679.00","3,588","2,436,252.00",291,"₹266.79",18,4.4,3356,5,327,"n/a","Home & Kitchen","Standard-Oversize","FBA","9.6x11.2x6.5",2.25,"7/22/2016"
"oumall Water Bottle with LED Temperature Display, Double Walled Vacuum Insulated Stainless Steel Bottle, Sports Automotive Travel Mug, 12H, 17 Oz Cup (Black, 500 ml)","B085XHQ17Z","oumall","₹349.00",477,"166,473.00","3,960","₹151.21",15,3.3,100,7,50,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.1x10.7x2.9",0.68,"6/1/2020"
"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted","B077Z99BP2","Cello","₹316.00","2,345","726,950.00",726,"₹177.77",6,4.3,1815,5,279,"n/a","Home & Kitchen","Standard-Oversize","FBA","7.9x9.6x3.3",0.71,"12/8/2017"
