"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Boldfit Yoga mat for Women and Men with Cover Bag TPE Material 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip","B07MNL598L","Boldfit","₹2,175.50","1,041","2,264,695.50",162,"₹527.66",1,4.3,1258,7,157,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.3x26.7x5.5",1.85,"12/2/2018"
"($) SBZ - SHOPBOOZ Yoga Mat for Gym Workout and Flooring Exercise - Yoga Mat with Strap for Men Women (6 x 2 feet)","B07VXNL7BP","SBZ - SHOPBOOZ","₹489.00",103,"50,367.00","1,781","n/a",1,3.8,836,8,63,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","7/22/2019"
"($) SOLARA Premium Yoga Mat for men Large, Eco Friendly Non Slip Yoga Mat for Women, textured Non Slip Surface and Optimal Cushioning,72""x 26"" | eBook and 50 videos included","B097L8H5KK","SOLARA","₹1,699.00",476,"665,924.00",55,"n/a",1,4.3,13,8,0,"n/a","Sports, Fitness & Outdoors","n/a","MFN","n/a","n/a","6/20/2021"
"($) Neerav Exports Fitness Best Travel 6 mm Foldable PVC Yoga Mat, 173 cm X 61 cm (Light Purple)","B097ZV3KS5","Neerav Exports","₹699.00","n/a","n/a","n/a","n/a",1,"n/a","n/a",9,0,"n/a","Sports, Fitness & Outdoors","n/a","MFN","n/a","n/a","6/26/2021"
"Fitness Mantra® Yoga Mat for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Qnty.-1 Pcs.)","B08HQCX3DP","Fitness Mantra","₹397.00","2,293","910,321.00",2,"₹137.81",1,4.0,7418,8,"2,301","n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x18.9x2.0",0.84,"9/8/2018"
"OJS ® Yoga Mat with Carrying Bag for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Made in India)","B08LZXKQR5","OJS","₹585.00","2,237","1,308,645.00",11,"₹178.51",1,4.0,2330,7,599,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x7.9x2.0",0.55,"9/1/2020"
"Mahadev Traders Anti Slip And Waterproof With Dual Side Embossed Yoga Mat For Men And Women, Boys And Girls-5MM | (Multi 33)","B096PF56P3","Mahadev Traders","₹329.00",86,"28,294.00",166,"n/a",1,"n/a","n/a",3,0,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","6/5/2021"
"Fitness Mantra® Yoga Mat with Strap for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness [Qnty.-1 Pcs.][Free Carrying Strap]","B0977FDVFD","Fitness Mantra","₹355.00",345,"122,475.00",23,"₹134.34",1,3.4,5,8,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x18.9x2.0",0.84,"6/14/2021"
"Fitness Mantra® Yoga Mat with Carrying Strap for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness[with Free Strap][Thickness 6MM]","B08KHG7LLK","Fitness Mantra","₹395.00","2,175","859,125.00",9,"₹136.47",1,4.0,2556,8,"1,017","n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x18.9x2.0",0.84,"9/8/2018"
"FEGSY Yoga mat for Women and Men with Cover Bag, 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Slip For Home & Gym Use","B097K9BSMN","FEGSY","₹599.00",679,"406,721.00",16,"₹221.73",1,5.0,85,6,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x19.7x3.5",1.76,"6/19/2021"
"Boldfit Yoga mat for Women and Men with Carry Strap, EVA Material 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip For Home & Gym Use","B091M5FN3V","Boldfit","₹699.20","1,962","1,371,830.40",36,"₹281.32",2,4.4,435,6,246,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","6.3x23.8x5.9",1.41,"4/2/2021"
"Roseate® Yoga Mat 4MM Large with Free Skipping Rope & Carrying Bag High Density Anti-Skid for Men & Women Fitness Flooring Workout Sweat Proof for Gym/Home/Outdoor Workout","B08C4NFW7L","Roseate","₹499.00","2,115","1,055,385.00",18,"₹203.42",2,3.9,1823,7,350,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x11.8x2.0",1.87,"7/1/2020"
"Fitness Mantra® Eco-Friendly, Anti-Slip 6MM Yoga mat for Gym Workout and Flooring Exercise Long Size. 6 MM Yoga Mat for Men & Women Fitness [Multicolor][1 Pcs.][6MM]","B085CG4F6K","Fitness Mantra","₹379.00",931,"352,849.00",22,"₹167.01",1,4.1,51,8,10,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x19.7x2.4",0.95,"9/9/2018"
"Effingo Yoga Mat with Bag and Carry Strap for Comfort I Non-Slip Surface Mat for Fitness and Exercise (4MM) (Red)","B08W43XLZP","Effingo","₹354.00",807,"n/a",178,"n/a",1,3.8,13,7,2,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.1x24.4x1.6",0.88,"2/7/2021"
"Mahadev Traders Anti Slip And Waterproof With Dual Side Embossed Yoga Mat For Men And Women, Boys And Girls-5MM | (Multi 37)","B096PG4TP7","Mahadev Traders","₹299.00",59,"17,641.00",867,"n/a",1,"n/a","n/a",3,0,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","6/5/2021"
